"","Year","age_mother","Inner","SUM_births","SUM_pop","Inner_factor","London_zone_ASFR","London_zone_ASFR_perK"
"286","1999","29",1,2708,31319,"Inner",0.0864650850921166,86.4650850921166
"287","1999","30",0,4428,39714,"Outer",0.111497205015863,111.497205015863
"288","1999","30",1,2861,31921,"Inner",0.0896275179349018,89.6275179349018
"289","1999","31",0,4392,39680,"Outer",0.110685483870968,110.685483870968
"290","1999","31",1,2976,31639,"Inner",0.0940611270899839,94.0611270899839
"291","1999","32",0,4192,40886,"Outer",0.102528983025975,102.528983025975
"292","1999","32",1,2834,31045,"Inner",0.0912868416814302,91.2868416814302
"293","1999","33",0,3912,41168,"Outer",0.0950252623396813,95.0252623396813
"294","1999","33",1,2785,29943,"Inner",0.0930100524329559,93.0100524329559
"295","1999","34",0,3566,40866,"Outer",0.0872608036020164,87.2608036020164
"296","1999","34",1,2669,29133,"Inner",0.0916143205299832,91.6143205299832
"297","1999","35",0,2994,39861,"Outer",0.0751110107623993,75.1110107623993
"298","1999","35",1,2244,27822,"Inner",0.0806555962907052,80.6555962907052
"299","1999","36",0,2411,38515,"Outer",0.0625989874075036,62.5989874075036
"300","1999","36",1,1888,26566,"Inner",0.0710682827674471,71.0682827674471
"301","1999","37",0,1826,36940,"Outer",0.0494315105576611,49.4315105576611
"302","1999","37",1,1445,24182,"Inner",0.0597551898106029,59.7551898106029
"303","1999","38",0,1439,35624,"Outer",0.0403941163260723,40.3941163260723
"304","1999","38",1,1073,23122,"Inner",0.0464060202404636,46.4060202404636
"305","1999","39",0,1060,33900,"Outer",0.0312684365781711,31.2684365781711
"306","1999","39",1,875,21636,"Inner",0.0404418561656498,40.4418561656498
"307","1999","42",0,1771,153858,"Outer",0.0115106136827464,11.5106136827464
"308","1999","42",1,1609,90072,"Inner",0.0178634869881872,17.8634869881872
"309","2000","17",0,2938,126311,"Outer",0.0232600486101765,23.2600486101765
"310","2000","17",1,2532,75978,"Inner",0.0333254363105109,33.3254363105109
"311","2000","20",0,1446,25535,"Outer",0.0566281574309771,56.6281574309771
"312","2000","20",1,1287,20405,"Inner",0.0630727762803235,63.0727762803235
"313","2000","21",0,1538,27022,"Outer",0.0569165864850862,56.9165864850862
"314","2000","21",1,1425,22129,"Inner",0.0643951376022414,64.3951376022414
"315","2000","22",0,1543,29292,"Outer",0.0526764987027175,52.6764987027175
"316","2000","22",1,1509,25003,"Inner",0.0603527576690797,60.3527576690797
"317","2000","23",0,1820,31662,"Outer",0.0574821552649864,57.4821552649864
"318","2000","23",1,1642,29016,"Inner",0.0565894678797905,56.5894678797905
"319","2000","24",0,2158,33659,"Outer",0.0641136100300068,64.1136100300068
"320","2000","24",1,1787,31919,"Inner",0.0559854632037345,55.9854632037345
"321","2000","25",0,2445,34688,"Outer",0.0704854704797048,70.4854704797048
"322","2000","25",1,1940,33474,"Inner",0.0579554280934457,57.9554280934457
"323","2000","26",0,2829,35655,"Outer",0.0793437105595288,79.3437105595288
"324","2000","26",1,1978,33797,"Inner",0.0585259046660946,58.5259046660946
"325","2000","27",0,3198,37274,"Outer",0.0857970703439395,85.7970703439395
"326","2000","27",1,2200,34411,"Inner",0.0639330446659498,63.9330446659498
"327","2000","28",0,3727,38699,"Outer",0.0963073981239825,96.3073981239825
"328","2000","28",1,2393,34471,"Inner",0.0694206724493052,69.4206724493052
"329","2000","29",0,3985,38990,"Outer",0.102205693767633,102.205693767633
"330","2000","29",1,2636,33594,"Inner",0.0784663928082396,78.4663928082396
"331","2000","30",0,4307,38804,"Outer",0.110993711988455,110.993711988455
"332","2000","30",1,2744,31945,"Inner",0.0858976365628424,85.8976365628424
"333","2000","31",0,4295,39958,"Outer",0.107487862255368,107.487862255368
"334","2000","31",1,2824,31882,"Inner",0.0885766263095163,88.5766263095163
"335","2000","32",0,3964,39885,"Outer",0.0993857339852075,99.3857339852075
"336","2000","32",1,2816,31362,"Inner",0.0897901919520439,89.7901919520439
"337","2000","33",0,3844,40828,"Outer",0.0941510727931811,94.1510727931811
"338","2000","33",1,2708,30566,"Inner",0.0885951711051495,88.5951711051495
"339","2000","34",0,3460,41146,"Outer",0.0840907986195499,84.0907986195499
"340","2000","34",1,2686,29446,"Inner",0.0912178224546628,91.2178224546628
"341","2000","35",0,3043,40772,"Outer",0.0746345531246934,74.6345531246934
"342","2000","35",1,2351,28338,"Inner",0.0829628061260498,82.9628061260498
"343","2000","36",0,2582,39644,"Outer",0.065129653919887,65.129653919887
"344","2000","36",1,1994,27203,"Inner",0.0733007388890931,73.3007388890931
"345","2000","37",0,2002,38339,"Outer",0.0522183677195545,52.2183677195545
"346","2000","37",1,1645,25708,"Inner",0.0639878637000156,63.9878637000156
"347","2000","38",0,1521,36864,"Outer",0.041259765625,41.259765625
"348","2000","38",1,1207,23661,"Inner",0.0510122141921305,51.0122141921305
"349","2000","39",0,1123,35438,"Outer",0.0316891472430724,31.6891472430724
"350","2000","39",1,931,22732,"Inner",0.0409554812598979,40.9554812598979
"351","2000","42",0,1927,158828,"Outer",0.0121326214521369,12.1326214521369
"352","2000","42",1,1751,94133,"Inner",0.0186013406563054,18.6013406563054
"353","2001","17",0,2812,128028,"Outer",0.0219639453869466,21.9639453869466
"354","2001","17",1,2497,77169,"Inner",0.0323575529033679,32.3575529033679
"355","2001","20",0,1346,25985,"Outer",0.0517991148739657,51.7991148739657
"356","2001","20",1,1370,20889,"Inner",0.0655847575278855,65.5847575278855
"357","2001","21",0,1622,27604,"Outer",0.0587596000579626,58.7596000579626
"358","2001","21",1,1468,22686,"Inner",0.064709512474654,64.709512474654
"359","2001","22",0,1729,29646,"Outer",0.0583215273561357,58.3215273561357
"360","2001","22",1,1467,25407,"Inner",0.0577399929153383,57.7399929153383
"361","2001","23",0,1925,31527,"Outer",0.0610587750182383,61.0587750182383
"362","2001","23",1,1578,29022,"Inner",0.0543725449658879,54.3725449658879
"363","2001","24",0,2033,33139,"Outer",0.0613476568393736,61.3476568393735
