"","Month","New_date","Region","Price","New_region","Final_date","highlight_flag","Region_factor","label"
"258","May-17","01/05/2017","East",896,"East",2017-05-01,TRUE,"East",NA
"259","May-17","01/05/2017","London",1702,"London",2017-05-01,TRUE,"London",NA
"260","May-17","01/05/2017","South.East",1016,"South East",2017-05-01,TRUE,"South East",NA
"261","May-17","01/05/2017","South.West",842,"South West",2017-05-01,FALSE,"South West",NA
"262","Jun-17","01/06/2017","North.East",551,"North East",2017-06-01,FALSE,"North East",NA
"263","Jun-17","01/06/2017","North.West",621,"North West",2017-06-01,FALSE,"North West",NA
"264","Jun-17","01/06/2017","Yorkshire.and.the.Humber",604,"Yorkshire and the Humber",2017-06-01,FALSE,"Yorkshire and the Humber",NA
"265","Jun-17","01/06/2017","East.Midlands",602,"East Midlands",2017-06-01,FALSE,"East Midlands",NA
"266","Jun-17","01/06/2017","West.Midlands",658,"West Midlands",2017-06-01,FALSE,"West Midlands",NA
"267","Jun-17","01/06/2017","East",899,"East",2017-06-01,TRUE,"East",NA
"268","Jun-17","01/06/2017","London",1711,"London",2017-06-01,TRUE,"London",NA
"269","Jun-17","01/06/2017","South.East",1018,"South East",2017-06-01,TRUE,"South East",NA
"270","Jun-17","01/06/2017","South.West",845,"South West",2017-06-01,FALSE,"South West",NA
"271","Jul-17","01/07/2017","North.East",552,"North East",2017-07-01,FALSE,"North East",NA
"272","Jul-17","01/07/2017","North.West",623,"North West",2017-07-01,FALSE,"North West",NA
"273","Jul-17","01/07/2017","Yorkshire.and.the.Humber",605,"Yorkshire and the Humber",2017-07-01,FALSE,"Yorkshire and the Humber",NA
"274","Jul-17","01/07/2017","East.Midlands",604,"East Midlands",2017-07-01,FALSE,"East Midlands",NA
"275","Jul-17","01/07/2017","West.Midlands",662,"West Midlands",2017-07-01,FALSE,"West Midlands",NA
"276","Jul-17","01/07/2017","East",901,"East",2017-07-01,TRUE,"East",NA
"277","Jul-17","01/07/2017","London",1709,"London",2017-07-01,TRUE,"London",NA
"278","Jul-17","01/07/2017","South.East",1020,"South East",2017-07-01,TRUE,"South East",NA
"279","Jul-17","01/07/2017","South.West",847,"South West",2017-07-01,FALSE,"South West",NA
